Number of reads in file,303245
Number of reads passing length filter,190108
Number of reads used for demultiplexing,177158
Number of samples in demultiplexing file,65
Number of samples with >=5X coverage,62
Number of good barcodes obtained after first alignment of up to 200 reads,47
Number of erroneous barcodes obtained after first alignment of up to 200 reads,14
Number of good barcodes obtained after aligning similar reads,1
Number of erroneous barcodes obtained after aligning similar reads,9
Number of barcodes fixed,13
Final number of barcodes,61
Final number of barcodes that cannot be fixed,1
Number of Ns in final barcodes,416
Number of filtered barcodes,51
Number of QC_Compliant barcodes,48
Number of barcodes with 1-5 errors,2
Number of barcodes with 6-10 errors,1
Number of barcodes with 11-15 errors,0
Number of barcodes with over 15 errors,7
